"SCORE Banks - List of SCORE banks with associated services (FIN, FileAct RealTime, FileAct Store""n""Forward)",,,,,,,
UPDATED SEP2022,,,,,,,
The information provided here is for guidance purposes only and may not be 100% accurate. SWIFT shall not be responsible for any loss whatsoever sustained by any person or business that relies on this information,,,,,,,
,,,,,2231,853,784
CITILBBE,CITIBANK NA-BEIRUT BRANCH,LEBANON,CITILBBE,CITIBANK N.A.,YES,YES,YES
CITILKLX,CITIBANK N.A,SRI LANKA,CITILKLX,CITIBANK N.A.,YES,YES,YES
CITILUL2,CITIBANK EUROPE PLC LUXEMBOURG BRANCH,LUXEMBOURG,CITILULX,CITIBANK N.A.,YES,YES,YES
CITILULX,CITIBANK EUROPE PLC LUXEMBOURG BRANCH,LUXEMBOURG,CITILULX,CITIBANK N.A.,YES,YES,YES
CITIMAMC,CITIBANK MAGHREB Immeuble 1,MOROCCO,CITIMAMC,CITIBANK N.A.,YES,YES,YES
CITIMYKL,CITIBANK BERHAD,MALAYSIA,CITIMYKL,CITIBANK N.A.,YES,YES,YES
CITINGLA,CITIBANK NIGERIA LIMITED,NIGERIA,CITINGLA,CITIBANK N.A.,YES,,YES
CITINL2X,CITIBANK EUROPE PLC NETHERLANDS BRANCH,NETHERLANDS,CITINL2X,CITIBANK N.A.,YES,YES,YES
CITINOKX,CITIBANK EUROPE PLC NORWAY BRANCH,NORWAY,CITINOKX,CITIBANK N.A.,YES,YES,YES
CITINZ2X,"CITIBANK N.A., NEW ZEALAND BRANCH",NEW ZEALAND,CITINZ2X,CITIBANK N.A.,YES,YES,YES
CITIPAPA,CITIBANK N.A. SUCURSAL PANAMA,PANAMA,CITIPAPA,CITIBANK N.A.,YES,YES,YES
CITIPEPL,CITIBANK DEL PERU S.A.,PERU,CITIPEPL,CITIBANK N.A.,YES,YES,YES
CITIPHMX,CITIBANK N.A (MANILA BRANCH),PHILIPPINES,CITIPHMX,CITIBANK N.A.,YES,YES,YES
CITIPKKX,"CITIBANK N. A., PAKISTAN",PAKISTAN,CITIPKKX,CITIBANK N.A.,YES,YES,YES
CITIPLPX,"BANK HANDLOWY W, WARSZAWIE SA",POLAND,CITIPLPX,CITIBANK N.A.,YES,YES,YES
CITIPRSJ,CITIBANK N.A.,PUERTO RICO,CITIPRSJ,CITIBANK N.A.,YES,YES,YES
CITIPTPX,CITIBANK EUROPE PLC PORTUGAL BRANCH,PORTUGAL,CITIPTPX,CITIBANK N.A.,YES,YES,YES
CITIROBU,"CITIBANK EUROPE PLC, DUBLIN - SUCURSALA ROMANIA",ROMANIA,CITIROBU,CITIBANK N.A.,YES,YES,YES
CITIRUMX,"AO CITIBANK, MOSCOW",RUSSIAN FEDERATION,CITIRUMX,CITIBANK N.A.,YES,YES,YES
CITISESX,CITIBANK EUROPE PLC SWEDEN BRANCH,SWEDEN,CITISESX,CITIBANK N.A.,YES,YES,YES
CITISGSG,CITIBANK N.A,SINGAPORE,CITISGSG,CITIBANK N.A.,YES,YES,YES
CITISKBA,"CITIBANK EUROPE PLC, POBOCKA ZAHRANICNEJ BANKY",SLOVAKIA,CITISKBA,CITIBANK N.A.,YES,YES,YES
CITISNDA,CITIBANK SENEGAL,SENEGAL,CITISNDA,CITIBANK N.A.,YES,YES,YES
CITITHBX,CITIBANK N.A,THAILAND,CITITHBX,CITIBANK N.A.,YES,YES,YES
CITITNTX,CITIBANK N.A,TUNISIA,CITITNTX,CITIBANK N.A.,YES,YES,YES
CITITRIX,CITIBANK A.S.,TURKEY,CITITRIX,CITIBANK N.A.,YES,YES,YES
CITITTPS,CITIBANK (TRINIDAD AND TOBAGO) LIMITED,TRINIDAD AND TOBAGO,CITITTPS,CITIBANK N.A.,YES,YES,YES
CITITWTX,CITIBANK TAIWAN LIMITED,"TAIWAN, REPUBLIC OF CHINA",CITITWTX,CITIBANK N.A.,YES,YES,YES
CITITZTZ,CITIBANK TANZANIA LTD,"TANZANIA, UNITED REPUBLIC OF",CITITZTZ,CITIBANK N.A.,YES,YES,YES
CITIUAUK,JOINT STOCK COMPANY 'CITIBANK',UKRAINE,CITIUAUK,CITIBANK N.A.,YES,YES,YES
CITIUGKA,CITIBANK UGANDA LIMITED,UGANDA,CITIUGKA,CITIBANK N.A.,YES,YES,YES
CITIUS33,CITIBANK N.A.,UNITED STATES,CITIUS33,CITIBANK N.A.,YES,YES,YES
CITIUS3P,CITIBANK N.A.,UNITED STATES,CITIUS33,CITIBANK N.A.,YES,YES,YES
CITIUYMM,CITIBANK N.A. URUGUAY,URUGUAY,CITIUYMM,CITIBANK N.A.,YES,YES,YES
CITIVECA,CITIBANK N.A. SUCURSAL VENEZUELA,VENEZUELA,CITIVECA,CITIBANK N.A.,YES,YES,YES
CITIVNVX,CITIBANK N.A,VIET NAM,CITIVNVX,CITIBANK N.A.,YES,YES,YES
CITIZAJX,CITIBANK SOUTH AFRICA,SOUTH AFRICA,CITIZAJX,CITIBANK N.A.,YES,YES,YES
CITIZMLU,CITIBANK ZAMBIA LTD,ZAMBIA,CITIZMLU,CITIBANK N.A.,YES,YES,YES
CITTGB2L,CITIBANK EUROPE PLC UK BRANCH,UNITED KINGDOM,CITTGB2L,CITIBANK N.A.,YES,YES,YES
CITTITMM,CITIBANK EUROPE PLC ITALY BRANCH,ITALY,CITTITMM,CITIBANK N.A.,YES,YES,YES
CIWMGB2L,CIBC WORLD MARKETS PLC,UNITED KINGDOM,CIWMGB2L,CANADIAN IMPERIAL BANK OF COMMERCE,YES,,
CKBCMEPG,CRNOGORSKA KOMERCIJALNA BANKA AD PODORICA (MONOTENEGRIN COM. BANKA),MONTENEGRO,CKBCMEPG,OTP BANK PLC.,YES,,
CLAOGB2L,CALASTONE LTD,UNITED KINGDOM,CLAOGB2L,CALASTONE LTD,YES,,
CLIBLBBX,CREDIT LIBANAIS S.A.L,LEBANON,CLIBLBBX,CREDIT LIBANAIS S.A.L,YES,,YES
CLMDMGMG,BNI MADAGASCAR,MADAGASCAR,CLMDMGMG,BNI MADAGASCAR,YES,,
CLPEES2M,"CAJA LABORAL POPULAR, COOP. DE CREDITO (CAJA LABORAL)",SPAIN,CLPEES2M,"CAJA LABORAL POPULAR, COOP. DE CREDITO (CAJA LABORAL)",YES,YES,YES
CMBCAU2S,"CHINA MERCHANTS BANK CO., LTD.",AUSTRALIA,CMBCAU2S,CHINA MERCHANTS BANK H.O.,YES,,
CMBCCNBS,CHINA MERCHANTS BANK H.O.,CHINA,CMBCCNBS,CHINA MERCHANTS BANK H.O.,YES,YES,YES
CMBMMCMX,COMPAGNIE MONEGASQUE DE BANQUE SAM,MONACO,CMBMMCMX,COMPAGNIE MONEGASQUE DE BANQUE SAM,YES,,
CMBRFR2B,CREDIT MUTUEL ARKEA,FRANCE,CMBRFR2B,CREDIT MUTUEL ARKEA,YES,YES,
CMCIFRPA,BANQUE FEDERATIVE DU CREDIT MUTUEL,FRANCE,CMCIFRPA,BANQUE FEDERATIVE DU CREDIT MUTUEL,YES,YES,YES
CMCIFRPP,CREDIT INDUSTRIEL ET COMMERCIAL,FRANCE,CMCIFRPP,BANQUE FEDERATIVE DU CREDIT MUTUEL,YES,,
CMCIGB2L,CREDIT INDUSTRIEL ET COMMERCIAL LONDON BRANCH,UNITED KINGDOM,CMCIGB2L,BANQUE FEDERATIVE DU CREDIT MUTUEL,YES,,
CMCISGSG,CREDIT INDUSTRIEL ET COMMERCIAL,SINGAPORE,CMCISGSG,BANQUE FEDERATIVE DU CREDIT MUTUEL,YES,,
CMCIUS33,"CREDIT INDUSTRIEL ET COMMERCIAL, NEW YORK BRANCH",UNITED STATES,CMCIUS33,BANQUE FEDERATIVE DU CREDIT MUTUEL,YES,,
CMFXGB2L,CAMBRIDGE MERCANTILE CORP. (UK) LIMITED,UNITED KINGDOM,CMFXGB2L,CAMBRIDGE MERCANTILE CORP.,YES,,
CNBFUS3M,CITY NATIONAL BANK OF FLORIDA,UNITED STATES,CNBFUS3M,CITY NATIONAL BANK OF FLORIDA,YES,,
CNORGB22,"NORTHERN TRUST COMPANY, THE",UNITED KINGDOM,CNORGB22,THE NORTHERN TRUST COMPANY,YES,,
CNORGB2X,"NORTHERN TRUST COMPANY, THE",UNITED KINGDOM,CNORGB22,THE NORTHERN TRUST COMPANY,YES,,
CNORIE2D,NORTHERN TRUST FIDUCIARY SERVICES (IRELAND) LIMITED,IRELAND,CNORIE2D,THE NORTHERN TRUST COMPANY,YES,,
CNORLULX,NORTHERN TRUST GLOBAL SERVICES SE,LUXEMBOURG,CNORLULX,THE NORTHERN TRUST COMPANY,YES,,
CNORUS33,THE NORTHERN TRUST INTERNATIONAL BANKING CORPORATION,UNITED STATES,CNORUS33,THE NORTHERN TRUST COMPANY,YES,,
CNORUS44,THE NORTHERN TRUST COMPANY,UNITED STATES,CNORUS44,THE NORTHERN TRUST COMPANY,YES,,YES
COBAATWX,"COMMERZBANK AG, NIEDERLASSUNG WIEN WIEN",AUSTRIA,COBAATWX,COMMERZBANK AG,YES,,
COBABEBX,COMMERZBANK AG BRUSSELS BRANCH,BELGIUM,COBABEBX,COMMERZBANK AG,YES,,
COBACHZH,COMMERZBANK AG,SWITZERLAND,COBACHZH,COMMERZBANK AG,YES,,
COBACNSX,COMMERZBANK AG,CHINA,COBACNSX,COMMERZBANK AG,YES,,
COBACZPX,COMMERZBANK AG,CZECHIA,COBACZPX,COMMERZBANK AG,YES,,
COBADEFF,COMMERZBANK AG,GERMANY,COBADEFF,COMMERZBANK AG,YES,YES,YES
COBADEFI,COMMERZBANK AG,GERMANY,COBADEFF,COMMERZBANK AG,YES,,
COBAESMX,COMMERZBANK AG,SPAIN,COBAESMX,COMMERZBANK AG,YES,,
COBAFRPX,COMMERZBANK AG,FRANCE,COBAFRPX,COMMERZBANK AG,YES,,
COBAGB2X,COMMERZBANK AG Global Custodian Network Management,UNITED KINGDOM,COBAGB2X,COMMERZBANK AG,YES,,
COBAHUHX,COMMERZBANK ZRT.,HUNGARY,COBAHUHX,COMMERZBANK AG,YES,,
COBAITMM,COMMERZBANK AG ZFO,ITALY,COBAITMM,COMMERZBANK AG,YES,,
COBALULU,COMMERZBANK AG,LUXEMBOURG,COBALULU,COMMERZBANK AG,YES,YES,
COBANL2X,COMMERZBANK AG KANTOOR AMSTERDAM,NETHERLANDS,COBANL2X,COMMERZBANK AG,YES,,
COBARUMM,COMMERZBANK EURASIJA AO,RUSSIAN FEDERATION,COBARUMM,COMMERZBANK AG,YES,,
COBASKBX,COMMERZBANK Aktiengesellschaft pobocka zahranicnej bankyBratislava,SLOVAKIA,COBASKBX,COMMERZBANK AG,YES,,
COBBBJBJ,UNITED BANK FOR AFRICA BENIN,BENIN,COBBBJBJ,UNITED BANK FOR AFRICA PLC,YES,,
COBZZWHA,CBZ BANK LIMITED,ZIMBABWE,COBZZWHA,CBZ BANK LIMITED,YES,,
COEBLALA,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,COEBLALA,BANQUE POUR LE COMMERCE EXTERIEUR LAO PUBLIC,YES,,
COFIFRPP,EDMOND DE ROTHSCHILD (FRANCE),FRANCE,COFIFRPP,EDMOND DE ROTHSCHILD (SUISSE) S.A.,YES,,
COKSDE33,KREISSPARKASSE KOELN,GERMANY,COKSDE33,KREISSPARKASSE KOELN,YES,,
COLBUS66,COLUMBIA STATE BANK,UNITED STATES,COLBUS66,COLUMBIA STATE BANK,YES,,
COLOCOBM,BANCOLOMBIA S.A.,COLOMBIA,COLOCOBM,BANCOLOMBIA S.A.,YES,YES,YES
COLOPAPA,"BANCOLOMBIA (PANAMA), S.A. PLAZA MARBELLA",PANAMA,COLOPAPA,BANCOLOMBIA S.A.,YES,,
COLPCOBB,SCOTIABANK COLPATRIA S.A.,COLOMBIA,COLPCOBB,THE BANK OF NOVA SCOTIA,YES,YES,YES
COLSDE33,SPARKASSE KOELNBONN,GERMANY,COLSDE33,SPARKASSE KOELNBONN,YES,,
COMLAOLU,"BANCO COMERCIAL ANGOLANO, S.A.",ANGOLA,COMLAOLU,"BANCO COMERCIAL ANGOLANO, S.A.",YES,YES,
COMMCNSH,"BANK OF COMMUNICATIONS, CO. LTD.",CHINA,COMMCNSH,"BANK OF COMMUNICATIONS, CO. LTD.",YES,YES,YES
COMMDEFF,BANK OF COMMUNICATIONS CO. LTD FRANKFURT BRANCH,GERMANY,COMMDEFF,"BANK OF COMMUNICATIONS, CO. LTD.",YES,,
COMMUS33,"BANK OF COMMUNICATIONS CO.,LTD. NEW YORK BRANCH",UNITED STATES,COMMUS33,"BANK OF COMMUNICATIONS, CO. LTD.",YES,,
CONBCLRM,ITAU CORPBANCA,CHILE,CONBCLRM,ITAU CORPBANCA,YES,,
CORUTZTZ,CRDB BANK PLC,"TANZANIA, UNITED REPUBLIC OF",CORUTZTZ,CRDB BANK PLC,YES,,
CPBKGB22,CO-OPERATIVE BANK PLC,UNITED KINGDOM,CPBKGB22,CO-OPERATIVE BANK PLC,YES,,
CPBLKHPP,CAMBODIAN PUBLIC BANK PLC,CAMBODIA,CPBLKHPP,PUBLIC BANK BERHAD,YES,YES,YES
CPOBMMMY,CB BANK PCL,MYANMAR,CPOBMMMY,CB BANK PCL,YES,,
CPPBCATT,CANADA PENSION PLAN INVESTMENT BOARD,CANADA,CPPBCATT,CANADA PENSION PLAN INVESTMENT BOARD,YES,,
CRAGCGCG,LA CONGOLAISE DE BANQUE (LCB),CONGO,CRAGCGCG,LA CONGOLAISE DE BANQUE (LCB),YES,YES,YES
CRASGB2L,CROWN AGENTS BANK LIMITED,UNITED KINGDOM,CRASGB2L,CROWN AGENTS BANK LIMITED,YES,YES,YES
CRBAGRAA,ALPHA BANK S.A.,GREECE,CRBAGRAA,ALPHA BANK S.A.,YES,,
CRBZIT2B,CASSA DI RISPARMIO DI BOLZANO SPA SUEDTIROLER SPARKASSE AG,ITALY,CRBZIT2B,CASSA DI RISPARMIO DI BOLZANO SPA SUEDTIROLER SPARKASSE AG,YES,,
CRDEUA2N,JSC 'BANK CREDIT DNEPR',UKRAINE,CRDEUA2N,JSC 'BANK CREDIT DNEPR',YES,,
CREDCLRM,BANCO DE CREDITO E INVERSIONES,CHILE,CREDCLRM,BANCO DE CREDITO E INVERSIONES,YES,YES,YES
CRESCHZH,CREDIT SUISSE AG,SWITZERLAND,CRESCHZH,CREDIT SUISSE AG,YES,YES,YES
CRESCHZZ,CREDIT SUISSE (SCHWEIZ) AG,SWITZERLAND,CRESCHZZ,CREDIT SUISSE AG,YES,YES,YES
CRESESM2,CREDIT SUISSE BANK (EUROPE) S.A.,SPAIN,CRESESM2,CREDIT SUISSE AG,YES,,
CRESGB2L,"CREDIT SUISSE AG, LONDON BRANCH",UNITED KINGDOM,CRESGB2L,CREDIT SUISSE AG,YES,,
CRESGB2X,"CREDIT SUISSE AG, LONDON BRANCH",UNITED KINGDOM,CRESGB2L,CREDIT SUISSE AG,YES,,
CRESKRSE,"CREDIT SUISSE AG, SEOUL BRANCH","KOREA, REPUBLIC OF",CRESKRSE,CREDIT SUISSE AG,YES,,
CRESLULL,CREDIT SUISSE (LUXEMBOURG) S.A.,LUXEMBOURG,CRESLULL,CREDIT SUISSE AG,YES,,
CRGEITGG,BANCA CARIGE SPA,ITALY,CRGEITGG,BANCA CARIGE SPA,YES,,
CRLYBEBB,CREDIT AGRICOLE CIB,BELGIUM,CRLYBEBB,CREDIT AGRICOLE SA,YES,,
CRLYCNSH,CREDIT AGRICOLE CIB (CHINA) LIMITED,CHINA,CRLYCNSH,CREDIT AGRICOLE SA,YES,,
CRLYFRPP,CREDIT LYONNAIS,FRANCE,CRLYFRPP,CREDIT AGRICOLE SA,YES,YES,YES
CRLYGB2L,CREDIT AGRICOLE CIB,UNITED KINGDOM,CRLYGB2L,CREDIT AGRICOLE SA,YES,,
CRLYHKHH,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,HONG KONG,CRLYHKHH,CREDIT AGRICOLE SA,YES,,
CRLYINBB,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK INDIA BRANCH,INDIA,CRLYINBB,CREDIT AGRICOLE SA,YES,,
CRLYJPJ9,CREDIT AGRICOLE SECURITIES ASIA B.V. TOKYO BRANCH,JAPAN,CRLYJPJ9,CREDIT AGRICOLE SA,YES,,
CRLYKRSE,"CREDIT AGRICOLE CIB, SEOUL BRANCH","KOREA, REPUBLIC OF",CRLYKRSE,CREDIT AGRICOLE SA,YES,,
CRLYRU2P,CREDIT AGRICOLE CIB AO,RUSSIAN FEDERATION,CRLYRU2P,CREDIT AGRICOLE SA,YES,,
CRLYSGSG,CREDIT AGRICOLE CIB,SINGAPORE,CRLYSGSG,CREDIT AGRICOLE SA,YES,,
CRLYTWTP,CREDIT AGRICOLE CORPORATE AND INVESTMENT,"TAIWAN, REPUBLIC OF CHINA",CRLYTWTP,CREDIT AGRICOLE SA,YES,,
CRLYUS33,CREDIT AGRICOLE CIB,UNITED STATES,CRLYUS33,CREDIT AGRICOLE SA,YES,,
CROAHR2X,CROATIA BANKA D.D,CROATIA,CROAHR2X,CROATIA BANKA D.D,YES,,
CRPPIT2P,CREDIT AGRICOLE ITALIA S.P.A.,ITALY,CRPPIT2P,CREDIT AGRICOLE SA,YES,YES,YES
CRRDCOBB,CORREDORES DAVIVIENDA S.A. COMISIONISTA DE BOLSA,COLOMBIA,CRRDCOBB,BANCO DAVIVIENDA S.A.,YES,YES,YES
CRVLCOBB,CREDICORP CAPITAL COLOMBIA S.A.,COLOMBIA,CRVLCOBB,CREDICORP CAPITAL COLOMBIA S.A.,YES,YES,YES
CRVOIT3V,CASSA DI RISPARMIO DI VOLTERRA,ITALY,CRVOIT3V,CASSA DI RISPARMIO DI VOLTERRA,YES,,
CSFBUS33,CREDIT SUISSE SECURITIES (USA) LLC,UNITED STATES,CSFBUS33,CREDIT SUISSE AG,YES,,
CSFPGB2L,CREDIT SUISSE INTERNATIONAL,UNITED KINGDOM,CSFPGB2L,CREDIT SUISSE AG,YES,YES,YES
CSRVUS33,CROSS RIVER BANK,UNITED STATES,CSRVUS33,CROSS RIVER BANK,YES,YES,YES
CSUKGB2L,CREDIT SUISSE (UK) LIMITED,UNITED KINGDOM,CSUKGB2L,CREDIT SUISSE AG,YES,,
CSURES2C,"CAJASUR BANCO, S.A.",SPAIN,CSURES2C,"KUTXABANK, S.A.",YES,YES,YES
CTBAAU2S,COMMONWEALTH BANK OF AUSTRALIA,AUSTRALIA,CTBAAU2S,COMMONWEALTH BANK OF AUSTRALIA,YES,YES,
CTBAGB2L,COMMONWEALTH BANK OF AUSTRALIA,UNITED KINGDOM,CTBAGB2L,COMMONWEALTH BANK OF AUSTRALIA,YES,,
CTBASGSG,COMMONWEALTH BANK OF AUSTRALIA,SINGAPORE,CTBASGSG,COMMONWEALTH BANK OF AUSTRALIA,YES,,
CTCBSGSG,"CTBC BANK CO., LTD. SINGAPORE BRANCH",SINGAPORE,CTCBSGSG,"CTBC BANK CO., LTD",YES,,
CTCBTWTP,"CTBC BANK CO., LTD","TAIWAN, REPUBLIC OF CHINA",CTCBTWTP,"CTBC BANK CO., LTD",YES,,
CTZIUS33,CITIZENS BANK NATIONAL ASSOCIATION,UNITED STATES,CTZIUS33,CITIZENS BANK NATIONAL ASSOCIATION,YES,YES,YES
CXECCVCV,"CAIXA ECONOMICA DE CABO VERDE, SA",CAPE VERDE,CXECCVCV,"CAIXA ECONOMICA DE CABO VERDE, SA",YES,,
CZNBCNBJ,KOOKMIN BANK (CHINA) LIMITED,CHINA,CZNBCNBJ,KOOKMIN BANK,YES,YES,YES
CZNBGB2L,"KOOKMIN BANK CO. LTD, LONDON BRANCH",UNITED KINGDOM,CZNBGB2L,KOOKMIN BANK,YES,,
CZNBINDD,KOOKMIN BANK,INDIA,CZNBINDD,KOOKMIN BANK,YES,,
CZNBKRSE,KOOKMIN BANK,"KOREA, REPUBLIC OF",CZNBKRSE,KOOKMIN BANK,YES,,
DABADKKK,DANSKE BANK A/S,DENMARK,DABADKKK,DANSKE BANK A/S,YES,YES,YES
DABAFIHH,"DANSKE BANK A/S, FINLAND BRANCH",FINLAND,DABAFIHH,DANSKE BANK A/S,YES,,
DABAGB2B,NORTHERN BANK LIMITED,UNITED KINGDOM,DABAGB2B,DANSKE BANK A/S,YES,,
DABAGB2L,DANSKE BANK,UNITED KINGDOM,DABAGB2L,DANSKE BANK A/S,YES,,
DABAIE2D,DANSKE BANK A/S,IRELAND,DABAIE2D,DANSKE BANK A/S,YES,,
DABALULL,DANSKE BANK INTERNATIONAL S.A.,LUXEMBOURG,DABALULL,DANSKE BANK A/S,YES,,
DABANO22,DANSKE BANK,NORWAY,DABANO22,DANSKE BANK A/S,YES,,
DABAPLPW,DANSKE BANK A/S S.A. ODDZIAL W POLSCE,POLAND,DABAPLPW,DANSKE BANK A/S,YES,,
DABASESX,DANSKE BANK A/S,SWEDEN,DABASESX,DANSKE BANK A/S,YES,,
DAKVDEFF,CLEARSTREAM BANKING AG Finance,GERMANY,DAKVDEFF,DEUTSCHE BORSE AG,YES,,
DBDBRSBG,"BANCA INTESA AD, BEOGRAD",REPUBLIC OF SERBIA,DBDBRSBG,INTESA SANPAOLO SPA,YES,,
DBSBIDJA,"BANK DBS INDONESIA, PT",INDONESIA,DBSBIDJA,DBS BANK LTD,YES,,YES
DBSSCNSH,DBS BANK (CHINA) LIMITED,CHINA,DBSSCNSH,DBS BANK LTD,YES,YES,YES
DBSSGB2L,"DBS BANK LTD, LONDON BRANCH",UNITED KINGDOM,DBSSGB2L,DBS BANK LTD,YES,YES,YES
DBSSHKHH,"DBS BANK LTD, HONG KONG BRANCH",HONG KONG,DBSSHKHH,DBS BANK LTD,YES,,YES
DBSSINBB,DBS BANK INDIA LIMITED,INDIA,DBSSINBB,DBS BANK LTD,YES,YES,YES
DBSSKRSE,"DBS BANK LTD, SEOUL BRANCH","KOREA, REPUBLIC OF",DBSSKRSE,DBS BANK LTD,YES,,
DBSSMOMX,"DBS BANK (HONG KONG) LIMITED, MACAU BRANCH",MACAO,DBSSMOMX,DBS BANK LTD,YES,,
DBSSSGSG,DBS BANK LTD,SINGAPORE,DBSSSGSG,DBS BANK LTD,YES,YES,YES
DBSSTWTP,DBS BANK (TAIWAN) LTD,"TAIWAN, REPUBLIC OF CHINA",DBSSTWTP,DBS BANK LTD,YES,,YES
DBSSVNVX,DBS BANK LTD.- HO CHI MINH CITY BRANCH,VIET NAM,DBSSVNVX,DBS BANK LTD,YES,,
DELBDE33,BETHMANN BANK AG,GERMANY,DELBDE33,ABN AMRO BANK N.V,YES,,
DELEBE22,DELEN PRIVATE BANK,BELGIUM,DELEBE22,DELEN PRIVATE BANK,YES,,
DELELULL,DELEN PRIVATE BANK LUXEMBOURG S.A.,LUXEMBOURG,DELELULL,DELEN PRIVATE BANK,YES,,
DELUFR22,BANQUE DELUBAC ET CIE,FRANCE,DELUFR22,BANQUE DELUBAC ET CIE,YES,,
DENITRIS,DENIZBANK A.S.,TURKEY,DENITRIS,EMIRATES NBD BANK PJSC,YES,YES,
DEUTAEAA,"DEUTSCHE BANK AG, ABU DHABI",UNITED ARAB EMIRATES,DEUTAEAD,DEUTSCHE BANK AG,YES,,
DEUTAEAD,"DEUTSCHE BANK AG, ABU DHABI",UNITED ARAB EMIRATES,DEUTAEAD,DEUTSCHE BANK AG,YES,,
DEUTATWW,DEUTSCHE BANK AKTIENGESELLSCHAFT Filiale Wien,AUSTRIA,DEUTATWW,DEUTSCHE BANK AG,YES,,
DEUTAU2S,DEUTSCHE BANK AG,AUSTRALIA,DEUTAU2S,DEUTSCHE BANK AG,YES,,
DEUTBEBE,DEUTSCHE BANK AG,BELGIUM,DEUTBEBE,DEUTSCHE BANK AG,YES,,
DEUTBRSP,DEUTSCHE BANK S.A.- BANCO ALEMAO,BRAZIL,DEUTBRSP,DEUTSCHE BANK AG,YES,,
DEUTCATT,"DEUTSCHE BANK AG, CANADA BRANCH",CANADA,DEUTCATT,DEUTSCHE BANK AG,YES,,
DEUTCHGG,DEUTSCHE BANK (SUISSE) S.A.,SWITZERLAND,DEUTCHGG,DEUTSCHE BANK AG,YES,,
DEUTCHZZ,DEUTSCHE BANK AG Frankfurt Am Main Zurich Branch,SWITZERLAND,DEUTCHZZ,DEUTSCHE BANK AG,YES,YES,
DEUTCNSH,DEUTSCHE BANK (CHINA) CO. LTD.,CHINA,DEUTCNBJ,DEUTSCHE BANK AG,YES,,
DEUTCZPX,"DEUTSCHE BANK AKTIENGESELLSCHAFT FILIALE PRAG, ORGANIZACNI SLOZKA",CZECHIA,DEUTCZPX,DEUTSCHE BANK AG,YES,,
DEUTDE2H,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE3B,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE5D,DWS INVESTMENT GMBH,GERMANY,DEUTDE5D,DEUTSCHE BANK AG,YES,,
DEUTDE5F,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE5M,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE5X,DEUTSCHE BANK EUROPE GMBH,GERMANY,DEUTDE5X,DEUTSCHE BANK AG,YES,,
DEUTDE6F,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE8C,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE8E,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE8L,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDE8M,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEAB,DWS INTERNATIONAL GMBH,GERMANY,DEUTDEAM,DEUTSCHE BANK AG,YES,,
DEUTDEAM,DWS INTERNATIONAL GMBH,GERMANY,DEUTDEAM,DEUTSCHE BANK AG,YES,,
DEUTDEBB,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEBR,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEDB,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEDD,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEDE,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEDK,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEDW,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEFF,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,YES,YES
DEUTDEHB,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEHH,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDEMM,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDESM,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
DEUTDESS,DEUTSCHE BANK AG,GERMANY,DEUTDEFF,DEUTSCHE BANK AG,YES,,
